module	name	heures	cm	td	tp
3101	Anglais	30	0	15	15
3102	LV2	20	0	10	10
3103	Théories de l'information et de la com.	40	15	15	10
3104	Esthétique et expression artistique	25	5	10	10
3105	Ecriture pour les médias numériques	35	10	10	15
3106	Communication expression écrite et orale	30	0	15	15
3107	Gestion de projet	25	5	10	10
3108	PPP	20	0	10	10
3109	Environnement juridique, éco, mercatique	40	25	15	0
3110	Projet tutoré	0	0	0	0
3201	Culture scientifique et traitement de l'info.	45	10	15	20
3202	Développement web	35	5	10	20
3203	Programmation objet et évènementielle	35	5	10	20
3204	Services sur réseaux	35	5	10	20
3205	Infographie	35	5	10	20
3206	Intégration multimedia	35	5	10	20
3207	Production audiovisuelle	35	5	10	20
3208	Projet tutoré	0	0	0	0
