module	name	heures	cm	td	tp
1101	Anglais	30	0	15	15
1102	LV2	20	0	10	10
1103	Théories de l'information et de la com.	20	10	10	0
1104	Esthétique et expression artistique	35	10	15	10
1105	Ecriture pour les médias numériques	30	10	10	10
1106	Communication expression écrite et orale	40	5	20	15
1107	Gestion de projet	30	5	15	10
1108	PPP	20	0	10	10
1109	Environnement juridique, éco, mercatique	30	15	15	0
1110	Adaptation de parcours	15	0	5	10
1201	Culture scientifique et traitement de l'info.	45	15	15	15
1202	Algorithmique et prog	30	10	10	10
1203	Services sur réseaux	50	15	15	20
1204	Infographie	30	0	10	20
1205	Intégration web	30	5	5	20
1206	Production audiovisuelle	30	5	5	20
1207	Adaptation de parcours	15	0	0	15
