module	name	heures	cm	td	tp
4101	Anglais	30	0	15	15
4102	Module complémentaire 1 (UE1)	40	10	15	15
4103	Module complémentaire 2 (UE1)	40	10	15	15
4104	Environnement juridique, éco, mercatique	40	10	15	15
4105	Projet tutoré	0	0	0	0
4106	Stage	0	0	0	0
4201	Module complémentaire 1 (UE2)	40	10	15	15
4202	Module complémentaire 2 (UE2)	40	10	15	15
4203	Intégration et gestion de contenu	40	10	15	15
4204	Projet tutoré	0	0	0	0
4205	Stage	0	0	0	0
